Cancel,ပယ်ဖျက်မည်
Edit,ပြင်မည်
"Address Information",လိပ်စာ
"Forgot Password?","လျှို့ဝှက်နံပါတ် မေ့နေပြီလား?"
"Acceptance of Terms And Conditions is required.","မူဝါဒနှင့် စည်းမျဉ်းစည်းကမ်းများကို သဘောတူရန်လိုအပ်ပါသည်။"
"I agree to NEO's %1 Terms & Conditions %2","NEO ၏ %1 မူဝါဒနှင့် စည်းမျဉ်းစည်းကမ်းများကို သဘောတူပါသည်။ %2"
"Checkout as a new customer","သုံးစွဲသူအသစ်အနေဖြင့် ဝယ်ယူရန်"
"Creating an account has many benefits:","စာရင်းသွင်းခြင်းဖြင့် အောက်ပါအကျိုးများ ရရှိပါမည်။"
"See order and shipping status","အော်ဒါနှင့်ပို့ဆောင်မှုများကို ကြည့်ရှုနိုင်ခြင်း"
"Track order history","အော်ဒါပို့ဆောင်မှု အခြေအနေများကို သိရှိနိုင်ခြင်း"
"Check out faster",မြန်မြန်ဆန်ဆန်ဝယ်ယူနိုင်ခြင်း
"Checkout using your account","စာရင်းသွင်းပြီးသားအကောင့်ဖြင့် ဝယ်ယူရန်"
"Or, create an account ","သိုမဟုတ် စာရင်းသွင်းရန် "
"By clicking “Create an Account”, I agree to NEO's","“စာရင်းသွင်းရန်” ကိုနှိပ်ခြင်းဖြင့် NEO ၏ "
"Terms & Conditions ","မူဝါဒနှင့် စည်းမျဉ်းစည်းကမ်းများကို သဘောတူပါသည်။ "
